value,count
it was pretty amazing .,2
it was magical .,2
so .,2
it was breathtaking .,2
beautiful place .,2
it was great .,2
go to the top .,2
a fantastic fusion of art and science .,1
"the light show which occurs for 5 min in the begining of every hour from sunset to 1 am should not be missed.and at 1am , the entire tower lights will be of and only diamond lights will glow for 5 min .",1
been to paris three times .,1
fabulous view on a sunny april day !,1
hard to say where they start & stop .,1
"through security by 10 , and were up the tower by 10:15 .",1
i visited in july and purchased my ticket online in may .,1
we were pleasantly surprised and overcome by the sight to our right as the lovely tower revealed itself !,1
yes join the long live watch your personal things d go the top a twilight .,1
the eiffel tower is a treasure .,1
"take the trip up to the top , book this in advance if you can !",1
who would go to paris with out going on the tower ????,1
i walked the 700 odd steps and went to the second level to absorb the beautiful views from the top .,1
"worthwhile , definitely !",1
we only waited for about 20 -30 minutes before we joined the queue for the lift to the top of the tower .,1
we were staying close so we got to see the light show often .,1
"at 46 , i was finally able to do it .",1
"after ice skating , we climbed up the stairs to the next level and beyond .",1
it was really pretty .,1
"goid visibility , great view and photographs .",1
one must visit this icon to truly experience paris .,1
visited the 2nd floor .,1
"we arrived half an hour before opening time and queue was already ling , so bear this in mind when visiting !",1
i must say i felt quite safe inside this secured area .,1
"an awesome place to be , though i personally have issue with security",1
"but it does get really busy , then you have to push your way into the elevators .",1
you can see it from almost any point in paris but you do n't appreciate the size until you walk toward it .,1
i was in paris a few years ago for a day trip when you could just walk right up and not wait in the long lines .,1
"do n't plan on relaxing views on the lawn as the place , day and night , was swarming with cheap souvenir hawkers .",1
if you time it right you 'll see the tower sparkle on the hour as well .,1
"it is a staggering height at over 300m while not the worlds tallest , it is an amazing structure of engineering .",1
still good to experience,1
i decided to walk around the park on the other side from the seine .,1
"wow such a beautiful landmark , at night it 's just mesmerising all lit up .",1
"it 's not too difficult to walk up the stairs as you can stop and enjoy the view -lrb- i.e. , catch your breath -rrb- while climbing .",1
"due to security issue in paris , there are security check before you and enter the eiffel tower areas .",1
"as well , you can walk up and take the elevator down .",1
"not a good place if you 're claustrophobic , but a must do nonetheless if in paris .",1
stairs are ok for coming down but prepared for a hard slog if you do n't want to crowd into the elevator,1
allow most of the day as waiting is a big part of it .,1
unless loaded with cash $ 18 for a glass of champagne at the summit is a bit rough .,1
"all in all , should definitely check it out .",1
very crowded but space to move & view .,1
the views are truly amazing .,1
"as we turned the corner and i saw some of the eiffel tower 's top , i totally lost my mind .",1
the only downside is the amount of sellers trying to push trinkets on to you at the bottom can be quite intimidating .,1
on balance yes .,1
"we visited on a clear , dry bright day .",1
so much to see and do in paris .,1
go to the top if you dare !,1
bear with the crowds : it 's absolutely worth your time .,1
when you go there .,1
going up the eiffel tower is simply a must do in paris .,1
"very nice place , breathtaking views , even prettier in the evening around 9:30 -10 pm .",1
and dont forget to climb up to enjoy the beauty of the city .,1
"this takes a long time , so make sure you bring snacks .",1
thousands of people in line just to get through security check points to walk around the base .,1
"be aware , but enjoy .",1
be prepared to wait unless you book online .,1
worth the visit .,1
"at least , on the ground floor .",1
"frankly , up close it 's not as impressive as seen from one of the points around paris that put it in perspective .",1
absolutely amazing !!,1
"this has to be a must do , we went up in the lift to the top of the eiffel tower , the view is just amazing",1
"intense security , do n't carry a bottle of soda .",1
"although i 've seen it several times , it never ceases to amaze .",1
get there when it first opens and you will have a pleasant experience .,1
everyone got alone quite well from all races and religions and country of origins.there are some interesting photos that you can review to learn more about the unusual happenings on the tower .,1
she preferred making jokes more than focusing on the tour .,1
we visited again a couple days later to take the lift up .,1
really worth a visit with great views of paris .,1
i was n't sure the best way to visit the eiffel tower .,1
"the wait to get to the top was average , not too long and worth the wait .",1
a fabulous first experience in paris for our children .,1
but views from the other two levels .,1
my wife and i visited levels 1 and 2 and thoroughly enjoyed ourselves .,1
eiffel tower was great .,1
it is a must visit and going up the tower is a must .,1
"view from the top is awesome , something worth coming so far !!",1
we queued for about 20 minutes just after 3pm to get to the top .,1
"best view , best vibe !",1
the views were just stunning at each level up the tower and was the perfect setting to celebrate our anniversary .,1
i thought it was going to be average/tourist food but it was very nice !!!!!,1
the views were breathtaking but we were very lucky it was such a sunny day !,1
best view is probably from the trocadero .,1
"had to wait approx 40 mins to get through the queue this was at approx 1pm , was a very cold windy day .",1
standing under the tower makes you feel like you have finally arrived in paris .,1
in the evening the surroundings look different and dazzling .,1
walk it to the platform and then take the lift .,1
but it meant for shorter lines everywhere including at the eiffel tower .,1
it 's a beautiful sight at night .,1
simply put if you are in paris you must see the eiffel tower and get the ticket to the top .,1
jaw dropping,1
it 's higher than it looks also !,1
this was something neither of us had done in past visits because it was closed due to weather .,1
worth waiting just be sure to allow yourself time !,1
each hour the tower 's lights twinkle and it is beautiful .,1
perfect !!!,1
truly breathtaking structure and well worth the effort if you are prepared to wait .,1
the boulevard opposite to the tower is also a good place to take photos .,1
"it was not very busy , no queues , which made the experience even better .",1
...,1
watch for pick pockets .,1
of course a must see .,1
believe the view from the nearby pullman hotel at night is spectacular so if you get a chance pl .,1
"although we could n't get to the top , still you have a direct and perfect view from there .",1
you will still be amazed when you see it in real .,1
i would recommend booking online at least a week in advance of planned visit .,1
you ca n't underestimate the beauty of this site .,1
i realised that the waiting time to get to two ticket machines was going to be about an hour .,1
"we saw it by day , not very impressive however at night it 's amazing .",1
"reserve for lunch at the jules verne , instead .",1
"so , it 's common sense .",1
"worth taking the stairs if you can , it is fun and a good exercise .",1
"what i would advise is get there really early , no later than 9:30 am or you 'll spend a lot of time queuing .",1
"great views , sure .",1
it gets very crowded below the tower and i know it 's been mentioned before but please look after your belongings !,1
"on the way down from the top , the tower lights up and it is simply magical to see the lights turning on as you go down .",1
grab some stuff to have a picnic and sit in the grass or on a bench .,1
der blick hinter die kulissen ist interessant -lrb- mechanik -rrb- .,1
"i think it is a ` must do ' when in paris and if you have good legs , you can walk up the stairs all the way to the top - some 704 steps !",1
"every sensible part of me wanted to skip this , but i am very glad i took the family .",1
try book up way in advance unlike us who tried about 10 days before and was impossible .,1
my husband proposed to me on this and i will never ever forget it .,1
i love the light show when were aboard the boat from the river siene cruise at night .,1
"watch out for pickpockets , they really hang out at all the famous places .",1
not sure how to review a world icon but here goes .,1
it was possible to buy tickets to the summit once we arrivd d but the queues were very long .,1
"the attraction is open until 1am , so if you can get there before 11pm , you can see paris at night all lit up .",1
"but even if you have n't got a reason ... have champagne at the top , it has to be done .",1
"we watched this ` light show ' from a couple different places - once from the trocadero gardens -lrb- just across the river -rrb- and once from the pont de l'alma -lrb- 1km away -rrb- , and thought it was more impressive from the further distance .",1
there are two elevator entrances and two stairway entrances .,1
had n't visited for many years and forgot how impressive it was .,1
i would recommend going at night to see the beauty of the lights across the city .,1
"predictably , it was way to busy and cramped up the top and the view itself was n't exactly jaw-dropping , say compared to the mont blanc or even geneva .",1
so i then looked into tours with third parties and found a `` sunset '' tour with a guide and `` front of the line '' entry .,1
it is a magical place and a wonderful must see sight .,1
watch out for the long line of cheap trinket vendors that harass you all th way there .,1
if it 's your first time in paris you have to go up the eiffel tower .,1
"however , if you are short on time you would not be missing out if you skipped this as there are better views of the city elsewhere - particularly views with the tower in it .",1
as we were taking photos the lights began to blink and the tower broke into a full light show .,1
"magnificent views from the top , and we took the opportunity to walk down from there , rather than taking the elevators .",1
"great dinner at the restaurant , great service and a really fun evening .",1
champagne adds to the beauty .,1
if you want to summit or eat in the tower do yourself a favor and buy skip the line tickets online ahead of your visit .,1
at 10pm starts lights to blink at the tower,1
windy up there !,1
what a wonderful,1
"views are great , the history is interesting , and we highly recommend it as a fun way to familiarize yourself with the layout of beautiful paris .",1
"be careful not to get ripped off with ` beat the queues ' tickets , which can be very costly .",1
watch out for pickpockets on the ground and the top .,1
we went to the tower in october & the weather was kind,1
"in fact , i strongly urge and recommend buying tickets in advance .",1
we waited around 40 minutes at the queue for the stairs and saw the first two levels that way .,1
do the louvre instead .,1
kids enjoyed a lot the attractions on the 1st floor .,1
took my husband for his birthday to see the eiffel tower was amazing as i 've been before and knew he 'd like it .,1
night view is great but a little bit scary .,1
it was unclear first that there are some places where you can go with lift as well .,1
we visited the eiffel tower while in paris .,1
what to say about the eiffel tower that has n't been told or written ?,1
go at night so you can see the city of paris lit up !,1
15 mins .,1
you have to see it during day time and in the evening .,1
get the ticket to go to the summit for a lovely view .,1
i 've been in paris 3 times and everytime i see the eiffel tower i am saying to myself that the closer i get the ugliest it becomes .,1
"every time we return to paris and visit eiffel tower , there is something new to experience .",1
a few people shouting that they got their bags taken .,1
just great !,1
amazing views from this iconic landmark .,1
11 $ for the 2nd story and 17 $ to take the elevator to the summit .,1
thanks wikipedia .,1
"i recommend the night views , especially when the lights flashes .",1
so keep that in mind for timing and whats in your purse .,1
"as it turned out , it was misty ands a bit foggy at the day/time of our reservation .",1
i was wowed .,1
"long lines and lots of waiting , purchase your ticket online ahead of time if at all possible .",1
before it thought it was only a high iron tower .,1
certainly a must when visiting paris .,1
"we bought our tickets , and then had to wait in another line to get on the lift .",1
"the only problem is on the 2nd floor , where all the people meet and there is only one queue to the elevator that takes you to the top of the tower -lrb- if you have the ticket for it -rrb- .",1
from this hight everything looks even .,1
we were n't interested in going up the tower but we loved glimpsing it from multiple places in the city .,1
"my second time to visit eiffel tower , still love it .",1
we headed straight for the top .,1
i guess it 's our last !,1
i think it may be beautiful to visit at night .,1
however many are put off going up when they arrive and see the queues of up to 3 hours .,1
"was there for the french national holiday once and saw fireworks around the eiffeltower as well , also very much worth it .",1
well its the eiffel tower and youre in paris so what more is there to say .,1
love the views from all levels .,1
if you ca n't afford to stay close to eiffel tower i will strongly suggest to get your place in the park in front of eiffel tower -lrb- champs de mars -rrb- by 8 pm on july 14 .,1
its lovely and not overrated at all .,1
a long queue from allover the world is waiting for that moment but it was moving ... when you reach the old left you can touch that feeling that you are going to catch the clouds and you were in the top of the world .,1
thought the exhibits were quite good .,1
"the restaurant above is also good , although a little expensive but that 's what you have to pay for when eat with such an ambience .",1
it is cheaper to purchase the stairs to the 1st and 2nd levels .,1
a must when you 're in paris .,1
"the eiffel tower is one of the most iconic and famous destination of tourists worldwide and i have to say that although it is fantastic , there are much more better places to have a view of paris .",1
do n't bring large bags unless you have two .,1
we got a cycle taxi from the eiffel tower to the champs elysee .,1
that is exactly what we did and it was magical .,1
we were on a ship docked in front of the eiffel tower .,1
my children loved it .,1
we missed out on this .,1
"it was a nice break from all-adult , all the time exploration .",1
"or people avoiding due to the football , but i would n't be put off going to the tower because of the football .",1
make a reservation so you do n't have to wait in long lines .,1
in spite of the fact that 3 out of 4 ties the top had been shrouded in cloud they have loved it .,1
"we arrived at the tower but the queues were so long , perhaps because of the floods closing some other venues it would have taken hours to get in so wasting the day .",1
"if you do n't mind tourists , then you 'll love it .",1
i did not went up because there were long lines and i would rather spend the money on something less crowded .,1
"currently there is some construction happening on the champ de mars , but still a good place for wonderful views of the tower .",1
go to the top of the hyatt regency for a spectacular view at night when the tower sparkles on the hour .,1
"i was surprised to learn the tower is actually a light tan , latte color .",1
waiting time is not that much 15 to 20 minutes given also the security measures currently in place .,1
great views of paris are obtained from these restaurants too .,1
"eiffel tower probably is the world 's greatest collection of impressionist art , housed in an architectural gem .",1
"you have limited time , go see somewhere else instead .",1
"the light show at night is spectacular and very romantic , a must see during any stay .",1
a must visit when in paris if there are no long lines .,1
"if you go to paris , you will see the eiffel tower from everywhere ... but you do n't really get a feeling for it until you visit .",1
paris is such a lovely city and the top of the eiffel tower is a great place to to appreciate its layout and beauty .,1
we purchased tickets online ahead of time which saved time from us having to queue .,1
it 's fun to be up that high but the best view is really from the second level .,1
and requesting you sign a petition -lrb- or something ! -rrb-,1
a magical sight .,1
such a disappointment .,1
go to the very top for the best views .,1
first time we visited we did n't realise there was the place de concord at the back with some lovely wee cafes to sit in and people watch .,1
spent 4 hours here as there is quite a lot to see and do .,1
but beautiful views !,1
"the lines can be long depending the time of the year that you go , but it is worth the wait .",1
no paris trip is complete without a trip to eiffel !,1
one of the best spot is on pont iena which is across from the et ... you can get a much better view of the entire tower than when you are close to it .,1
chose the stairs to the elevator .,1
do not go to the third floor if heights bother you .,1
went to the tower during the day 03/03/2016 .,1
we timed it so that we got to the second deck shortly before sunset and we really liked that choice .,1
there were around 669 steps to go up but not really hard to finish .,1
"we also took a tour of the underground hydraulic system thru viator , and it gave us a look of the underground basements bunkers of the eiffel , the tour also gave us access to the upper floors and to the very top .",1
-lrb- which you can from almost everywhere in the city ! -rrb-,1
we however returned later in the evening and managed to gain access to the top level which had been reopened !,1
"i did n't expect to see a mannequin type display at the top , but was interested to know that gustov eiffel , built an apartment at the top and hosted gatherings for various vip 's .",1
"well , many years later there 's tight tight security .",1
people should visit it at least once in their lifes !,1
you can walk around that level and then go up to the tip top .,1
when i was in front of the tower i was speechless it was like to be in a movie when i was at the top i felt really good do n't miss it,1
it 's very curious how you think that the tower is n't so big but when you get closer you just got amazed with the size and all the architeture envolved in it .,1
well worth a tour guide to get history .,1
"it was crowded and the lines were long so we decided not to go up , but the view from ground level was magnificent anyway .",1
the view from top is beyond word to explain .,1
definitely should pre-book as lines are horrible .,1
"if you are lucky , it would be sun setting behind you .",1
nice to say we 've done it but it is overrated .,1
at awe ... must go and experience the tower at night too !,1
we took lots of photos for every angle and it is perfect and beautiful .,1
"visiting eiffel tower is pointless if you 're not gon na summit , view from the summit is breathtaking .",1
decided to walk down from level 2 to level 1 - omg it is a long way .,1
the view from the top is good though .,1
well worth visiting but prepurchase your ticket well in advance or risk not getting a ticket at all .,1
"but try and be there early -lrb- and not during peak season , if at all possible -rrb- .",1
nice quality -lrb- food -rrb- it a bit pricey -lrb- in the better restaurant from the two of three i think -rrb-,1
the cruise boats are tiny when you look down at them .,1
"you have also an indoor part , which i found it very 80 's .",1
recommend booking this tour through viator - sienne river cruise with trip to eiffel tower,1
"be prepared to wait on line , get pushed a bit and for heavens sake , watch your pockets from the gypsies that roam around but you have to come here and soak it in .",1
"you just ca n't visit paris without visiting the eiffel tower but be prepared for long , long queues for tickets , for lifts up and lifts down .",1
the eiffel tower is easy to get to from the metro or by bus .,1
still worth the wait even to get part of the way up,1
"by day , depending on the light , it is black and ugly and unremarkable .",1
the other elevator was working but the line was very long .,1
the magnificent view of the city from the top is not to be missed .,1
"both are monumental , magnificent structures , and paris icons .",1
"we had dinner upstairs , so we did not have to get on a long line to get in the elevator to go up .",1
it might get busy with the elevator sometimes but i do n't recommend taking kids when its busy because of the queue for the elevator .,1
i took screen shots of the tickets -lrb- the bar code us the bit they want -rrb- i did this 2 days before we got to the eiffel tower .,1
romantic and impressive .,1
lovely place !,1
the walk up is exhausting if you 're unfit but there is a nice resting place on the 1st floor .,1
otherwise i would have to say that it was a good visit and excellent value for money .,1
it 's such a unique and magnificent place .,1
on the negative side there are a lot of street sellers who do not like taking no for an answer .,1
i had a really great time there .,1
does what it says on tin .,1
second floor has a great view .,1
i 'd always thought it was black !!!,1
one can not possibly rate this landmark any less !,1
we also walked through a little market place .,1
the eiffel tower was number 1 on my list of things to see in paris .,1
everything must have been said and written about this beautiful place but it is all true .,1
but i got the ticket to the mid level -lrb- which is still very high -rrb- ... i did n't stand in the line and the line was loooooongggggg ... .,1
a must on the tourist guide to paris but really other than the amazing views this is not the best place to visit .,1
"can get very crowded , so go early or late !",1
i could ' t go up as i am to afraid of heights but even being near it was just spectacular .,1
the eiffel tower is just as amazing in person .,1
long queues though so book a time slot before you go .,1
"it is very well organised , very security conscious -lrb- good to know at the moment -rrb- and we thoroughly enjoyed it .",1
i recommend to do eiffla tour in the morning to avoide a long time in queue !,1
reserve before you go to insure you get the day/time you want .,1
"if you 've ever been to disney world , you have trained yourself to stand in line at the tower .",1
we arrived early to beat the queues and we passed through security very easily and the security staff were very helpful -lrb- we were travelling with a stroller -rrb- .,1
i went up the tower 2 days ago .,1
beautiful and as well as romantic !,1
the tour took us to the basement and even behind the hydraulic lift to show some of the original engineer innovations .,1
reached the top of the tower and the views there were out of this world .,1
sooooo beautiful at night .,1
do n't miss it as it is a beautiful sight to behold !,1
the architecture is a feat to behold and the meaning of the tower and why it 's there is also unique .,1
i was disappointed by how much of a let down the experience was .,1
not as crowded as expected on a monday evening and we 'll worth the wait .,1
"it also lights up nicely at night , every hour on the hour it has a glitter effect",1
"first you climb tons of stairs , definitely over 100 to get to the first observation deck , which is wide , lots of room and you get fantastic city views .",1
one must be aware that it takes two to three hours to get to the top through lifts as the queues are long and tickets heavy .,1
of course you 're going to go to the eiffel tower .,1
would n't have seen them if we took the elevator .,1
we 've been to the foot of the tower before - never bothered to go up till this time -- just went to the first dock - was amazing !,1
so crowded it was not at all enjoyable .,1
i have been here before so we decided to visit at night .,1
because we had a drizzle day there was barely any line which was great .,1
did you know about the restaurant ?,1
we went up to the second level and wow what views of paris .,1
i loved the lift ride to level 2 of the eiffel tower with our `` jump the queue pass '' & the view was rewarding .,1
there is a lot of work currently being done in the trocadero area so it is n't as nice to hang out here as it has been in the past .,1
excellent system of security if not a little sad given the circumstances .,1
this is the ultimate destination to visit for honeymoon and for us this was the first place we visited for our honeymoon in paris .,1
we have seen night view also of the same from boat .,1
"i ca n't say i was a fan of the 2 hour wait to get on the elevator and the 45 minute wait to get back down , but the view made up fo it .",1
"it 's overpriced of course , but this is a special moment !",1
defiantly take the lift .,1
"during the day we went to the restaurant , which had great food .",1
to see -lrb- and touch -rrb- the iconic structural wonder was an experience worth its weight in gol -lrb- iron :-rrb- .,1
but the view is prettier from the bottom .,1
"we did walk down which was n't so bad since it was going down , not up .",1
if you travel durning the peak summer days a reservation may be the answer to early board rather then the long lines .,1
the firework display was better than any i have ever seen - or heard of .,1
"myself and my partner did not wo n't to queue for hours as we wanted to make the most of our trip to paris so we made the booking with viator , the guide was so lovely and helpful .",1
oh well .,1
you should go in up to the 2nd and 3rd floor .,1
its a do or die if you hate heights .,1
maybe they should have a word with disneyland .,1
the view of the tower from the bateaux mouches is very good too .,1
i actually want to try walking the stairs to the top,1
standing underneath is a must .,1
its tall beautiful and made of thousands of tons of steel .,1
get there early to beat the crowds .,1
"fyi , security took our water bottles .",1
watch the sunset from tracodero towards the eiffel tower .,1
it 's wonderful !,1
thank fully they could n't !!,1
the queue are long and slow .,1
but it all the hard work pays when you catch the breath taking view from top of the eiffel tower .,1
it will make your experience much better !,1
completely shock when i arrived totally dream stay in europe enjoy the skyline feel free with my friends,1
"also , you must visit during the day and the evening , preferably get there around 9:30 pm , at 10:00 pm there is a music and twinkle light show that is super cool , you wo n't want to miss it !",1
"it was pricy to go to the top , but it was well worth the price .",1
"i personally wanted to eat at the restaurant , but the other people in my party did not want to .",1
"eiffel tower at night is just marvelous , especially when it is less crowded .",1
was surprised at how cheap all the attractions in paris are compared to other european cities .,1
highly recommended for all .,1
eiffel tower is at its best at sundawn .,1
we only went to the second floor of the tower as i 'm not overly good with heights but it was an experience that you should do in paris .,1
"it goes without saying , that you simply would not want to go to paris and not visit its most iconic edifice .",1
"only negative are the beggars trying to get you to sign things for various fake charities -lrb- i assume a pickpocket strategy -rrb- , and the bizarre cheap rip off goods being sold by everyone underneath .",1
the lift ride up is an experience in itself and the views from the top are stunning .,1
we made advance reservations so the line was short and quick .,1
we were nervous about making the 688 step climb in the dark but decided that we had to go for it .,1
"if you are visiting paris for the first time , the eiffel tower should not be missed .",1
the weather was not so good .,1
"we wanted to visit the summit , but unfortunately it was closed .",1
"we booked the paris must see tour , eiffel tower lunch & versailles castle tour with concergerie.com along with other tours prior to leaving australia .",1
"people go to the tower to share a bottle of wine and watch the lights , a great thing to do .",1
would definitely do this process again .,1
"bit disorganised here but not too bad , took about 15 minutes of waiting before getting into a lift and part of that time was spent looking for the ticket machine .",1
security staff as well helpful .,1
the eiffel tower provides an extraordinary view of sprawling paris .,1
"also went at night to take photos of the tower only , on the hour it lights up like fireworks , very spectacular show to watch .",1
unfortunately the top level was closed for work at the time .,1
i suppose it is a must see if coming to paris .,1
we went all the way to the summit .,1
great views across the city and it is quite spacious up there with a few small shops .,1
being there absolutely feels like top of the world .,1
in the middle there is a ski ring .,1
the tower is only a short walk from the metro stop and this attraction is a must see while in paris .,1
bravo !!!,1
there are gift shops and a bar on second floor .,1
i went with my husband and enjoyed a lot .,1
the only available spot was at 10 pm so book as early as possible .,1
its a bit of a walk to reach it but very worth it so it is a must to see .,1
✔ .,1
if you 're fit enough you can climb the first two platforms by stair and still get your ticket for the escalator up to the top platform .,1
"i must have taken over 30 photos , viewing the tower from every angle and still finding interesting and compelling compositions .",1
it really is a fun experience and not just a ` view ' of paris - though that of course is cool .,1
would recommend provoking tickets,1
"i do n't know what it is about this tower , but i love it !",1
i was given several dirty looks when i accidently joined a queue because a group had n't moved up .,1
i would recommend for everyone to visit the eiffel tower at least once .,1
you have to do this .,1
"then the tower lights went on : search lights to the horizon , and sparkling strobes from top to bottom .",1
after waiting for more than 2 hours in a serpentine queue we made it to the top level of the tower .,1
champagne bar and all !,1
the queues can be long but we were lucky the day we went and we were less than an hour in line .,1
"it 's a tacky touristy thing to do , but you just must do it once .",1
eiffel tower is most certainly one of the most romantic spots on earth !,1
probably different appreciation by francophiles .,1
"beautiful , wow , wow ,",1
it is painted a bland beige color .,1
also went to the top to catch the awesome city views !,1
"being out of school holiday times the queues were not too long and did move very efficiently and quickly , there was a continuous stream of people but the lifts were well organised .",1
it 's breathtaking any time of day or night .,1
the sun did not come down until 10 pm so we also ended up enjoying our view of eiffel tower at night with lights up when we came back from the cruise .,1
going up the eiffel tower is a must when visiting paris .,1
"if you have children with you , be warned there are very overpriced disney toys in the shop that have nothing to do with the eiffel tower itself so you may not want your child to see them .",1
"if you can , walk up as it will help you appreciate the incredible structure but as the lift has glass sides , it still allows you to appreciate the ascent .",1
"at first i was disappointed we could only get to the second level -lrb- top was sold out -rrb- , but in the end , it was perfect .",1
you get a picturesque view of paris and champs élysées et al you can view to your hearts content .,1
we skipped the line and walked to the tower with a tour guide with audio headset .,1
the streets were so filthy .,1
"we were disappointed about this news until we visited this time and found the tower surrounded by chain link fencing and the ubiquitous metal detector , with the champ du mars , one of our favorite picnic spots in the shadow of the tower , similarly fenced .",1
you will stand in line no matter what the ticket sales say .,1
i suggest you do this on a warm day since in april we were so cold that high up .,1
"but it was a bit of a letdown , not so much so the tower 's fault but rather the fact that the entire surrounding area is not quite what i would have envisioned .",1
it was a mistake to go inside .,1
skip the line is very nice and saved a lot of time great views and a must do experience .,1
i 've seen pictures but nothing compares to the views in person and what you experience at night .,1
"it was raining and during the week , so not as crowded as i was told .",1
a beautiful view of paris city,1
the tour included the scene river cruise as well,1
well worth a visit while in paris .,1
we visited on a sunday evening .,1
most of your time spent here will be waiting in line and get ready to be crammed like sardines in the elevator .,1
"i stood in the middle of the elevator , which moves quickly and stand back away from the edge and you will be okay .",1
the eiffel tower is magnificent at night .,1
otherwise there is also a cafe and a couple of gift shops .,1
"hell yeah , it was a life time experience to visit such a world known attraction .",1
the elevator line was 2 hours long !,1
unfortunately during the holidays the amount of people was stunning .,1
there are fewer crowds and there is free ice skating on the first level .,1
every floor is beautiful in its own way and not just the summit -lrb- top floor -rrb- .,1
"every trip , i make sure to visit just because it always looks a bit different ... lighting , time of day , and surrounding settings of the season .",1
"3 -rrb- successful companies find solutions , not conflict .",1
"many only go to the 2nd floor , and once there you ca n't upgrade to a `` summit '' ticket .",1
